data_name,original_name,unzip_name,file_name1,file_name2,read_method,codebook_name,source
HEXACO,HEXACO,HEXACO,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
HSNSDD,HSNS+DD,HSNS+DD,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
HSQ,HSQ,HSQ,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
IPIPFFM,IPIP-FFM-data-8Nov2018,IPIP-FFM-data-8Nov2018,data-final.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
IQ1,IQ1,IQ1,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
itemsgen,itemsgen,itemsgen,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
KIMS,KIMS,KIMS,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MACH,MACH_data,MACH_data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MGKT,MGKT_data,MGKT_data,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MIES,MIES_Dev_Data,MIES_Dev_Data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
MSSCQ,MSSCQ,MSSCQ,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
NIS,NIS_data,NIS_data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
NPAS,NPAS-data-16December2018,NPAS-data-16December2018,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
NPI,NPI,NPI,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
NR6,NR6-data-14Nov2018,NR6-data-14Nov2018,data-final.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
OHBDS,OHBDS-data,HBDS-data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
OSRI44,OSRI44_dev_data,OSRI44_dev_data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
PWE,PWE_data,PWE_data,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
randomnumber,randomnumber,randomnumber,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
RIASEC,RIASEC_data12Dec2018,RIASEC_data12Dec2018,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
RSE,RSE,RSE,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
RWAS,RWAS,RWAS,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
SCS,SCS,SCS,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
SD3,SD3,SD3,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
SENTANCES1,SENTANCES1,SENTANCES1,data1.csv,data2.csv,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
TMA,TMA,TMA,data.csv,,2,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
VIQT,VIQT_data,VIQT_data,VIQT_data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
Wagner,Wagner,Wagner,data.csv,,1,codebook.txt,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
WPI,WPI,WPI,data.csv,,1,codebook.html,Open-Source Psychometrics Project(https://openpsychometrics.org/_rawdata/)
